,player_id,player,year,team_id,draft_pick,height_no_shoes,height_with_shoes,wingspan,standing_reach,vertical_max,vertical_max_reach,vertical_no_step,vertical_no_step_reach,weight,body_fat,hand_length,hand_width,bench,agility,sprint,season
129,203488,Mike Muscala,2013,1610612755,44.0,82.25,83.5,85.0,108.0,33.5,141.5,28.0,136.0,230.0,6.8,8.5,9.0,5.0,11.76,3.44,2018
130,203485,Lorenzo Brown,2013,1610612761,52.0,76.0,77.25,79.0,100.0,34.0,134.0,28.0,128.0,189.0,4.0,8.25,8.5,8.0,11.78,3.4,2018
131,203457,Nerlens Noel,2013,1610612760,6.0,82.0,83.75,87.75,110.0,,,,,206.0,4.2,9.5,10.0,,,,2018
132,203463,Ben McLemore,2013,1610612758,7.0,75.5,76.75,79.75,100.5,42.0,142.5,32.5,133.0,189.0,5.0,8.75,9.5,6.0,11.87,3.27,2018
133,203484,Kentavious Caldwell-Pope,2013,1610612747,8.0,76.5,77.5,80.0,100.5,34.5,135.0,29.0,129.5,204.0,6.5,8.5,9.0,7.0,10.6,3.12,2018
134,203504,Trey Burke,2013,1610612742,9.0,71.75,73.25,77.5,97.5,36.5,134.0,29.5,127.0,187.0,6.9,8.25,8.75,3.0,11.2,3.16,2018
135,203504,Trey Burke,2013,1610612752,9.0,71.75,73.25,77.5,97.5,36.5,134.0,29.5,127.0,187.0,6.9,8.25,8.75,3.0,11.2,3.16,2018
136,203658,Norvel Pelle,2013,1610612755,,81.5,82.5,86.5,109.0,34.5,143.5,31.0,140.0,207.0,5.2,8.75,9.5,,11.49,3.32,2018
137,203496,Robert Covington,2013,1610612750,,78.25,79.5,85.75,106.0,36.0,142.0,29.5,135.5,209.0,4.7,9.0,8.5,9.0,11.69,3.34,2018
138,203496,Robert Covington,2013,1610612755,,78.25,79.5,85.75,106.0,36.0,142.0,29.5,135.5,209.0,4.7,9.0,8.5,9.0,11.69,3.34,2018
139,203552,Seth Curry,2013,1610612757,,73.0,75.0,76.0,97.5,,,,,179.0,9.6,8.0,8.25,,,,2018
140,203901,Elfrid Payton,2014,1610612740,10.0,74.5,75.75,80.0,98.5,35.5,134.0,31.5,130.0,185.0,5.7,8.75,9.0,,11.06,3.23,2018
141,203926,Doug McDermott,2014,1610612754,11.0,78.25,79.75,81.25,103.0,36.5,139.5,28.5,131.5,218.0,7.1,8.75,9.75,,11.1,3.29,2018
142,203897,Zach LaVine,2014,1610612741,13.0,76.5,77.75,80.25,100.0,41.5,141.5,33.5,133.5,181.0,4.7,8.25,8.75,,10.42,3.19,2018
143,203933,T J  Warren,2014,1610612756,14.0,79.0,80.25,82.25,104.0,35.5,139.5,27.0,131.0,220.0,8.0,8.75,9.0,,11.1,3.26,2018
144,203914,Gary Harris,2014,1610612743,19.0,74.5,76.5,78.75,96.0,,,,,205.0,4.6,8.5,9.5,,,,2018
145,203918,Rodney Hood,2014,1610612757,23.0,79.25,80.5,80.5,103.0,36.0,139.0,29.0,132.0,208.0,7.5,8.5,8.5,,11.21,3.38,2018
146,203918,Rodney Hood,2014,1610612739,23.0,79.25,80.5,80.5,103.0,36.0,139.0,29.0,132.0,208.0,7.5,8.5,8.5,,11.21,3.38,2018
147,203894,Shabazz Napier,2014,1610612751,24.0,71.0,73.0,75.25,93.0,37.5,130.5,30.5,123.5,175.0,7.4,8.25,8.5,,11.6,3.2,2018
148,203912,C J  Wilcox,2014,1610612754,28.0,75.5,77.0,81.75,100.5,37.5,138.0,31.0,131.5,201.0,6.5,8.75,9.0,,11.3,3.22,2018
149,203937,Kyle Anderson,2014,1610612763,30.0,79.5,80.5,86.75,107.5,,,,,230.0,13.4,8.25,8.75,,,,2018
150,203925,Joe Harris,2014,1610612751,33.0,76.75,78.25,78.0,100.0,33.5,133.5,28.5,128.5,215.0,6.2,8.5,9.75,,11.11,3.31,2018
151,203950,Jarnell Stokes,2014,1610612748,35.0,79.0,80.5,85.25,103.5,36.0,139.5,31.0,134.5,263.0,8.2,9.75,10.5,,11.92,3.26,2018
152,203915,Spencer Dinwiddie,2014,1610612751,38.0,76.5,78.0,80.25,103.0,,,,,205.0,5.4,8.25,9.0,,,,2018
153,203924,Jerami Grant,2014,1610612760,39.0,78.5,79.75,86.75,107.0,,,,,214.0,3.8,9.25,9.25,,,,2018
154,203932,Aaron Gordon,2014,1610612753,4.0,79.5,80.75,83.75,105.0,39.0,144.0,32.5,137.5,220.0,5.1,8.75,10.5,,10.81,3.27,2018
155,203910,Nick Johnson,2014,1610612759,42.0,73.5,75.0,79.25,96.5,41.5,138.0,33.5,130.0,198.0,6.1,8.75,9.75,,10.8,3.27,2018
156,203939,Dwight Powell,2014,1610612742,45.0,81.5,83.0,84.5,105.0,35.0,140.0,28.5,133.5,234.0,6.2,9.0,9.25,,11.28,3.2,2018
