player_name,salary
Ivan Rabb,"$1,378,242  "
Monte Morris,"$1,349,383  "
Tyrone Wallace,"$1,349,383  "
Ryan Arcidiacono,"$1,349,383  "
Antonio Blakeney,"$1,349,383  "
Alfonzo McKinnie,"$1,349,383  "
Tyson Chandler,"$1,333,140  "
Shaquille Harrison,"$1,311,264  "
Élie Okobo,"$1,238,464  "
Jalen Brunson,"$1,230,000  "
Joakim Noah,"$1,093,858  "
Melvin Frazier,"$1,050,000  "
Isaac Bonga,"$1,000,000  "
Devonte' Graham,"$988,464  "
De'Anthony Melton,"$949,000  "
Austin Rivers,"$922,943  "
Chasson Randle,"$869,094  "
Isaiah Hartenstein,"$838,464  "
Gary Trent Jr.,"$838,464  "
Hamidou Diallo,"$838,464  "
Ryan Broekhoff,"$838,464  "
Brad Wanamaker,"$838,464  "
Alize Johnson,"$838,464  "
Chimezie Metu,"$838,464  "
Jarred Vanderbilt,"$838,464  "
Keita Bates-Diop,"$838,464  "
Bruce Brown,"$838,464  "
Khyri Thomas,"$838,464  "
Kenrich Williams,"$838,464  "
Jevon Carter,"$838,464  "
Patrick McCaw,"$786,211  "
Kenneth Faried,"$683,661  "
Gary Clark,"$596,872  "
Bruno Caboclo,"$522,150  "
Salah Mejri,"$512,746  "
Wesley Matthews,"$512,746  "
Nik Stauskas,"$504,200  "
Enes Kanter,"$487,109  "
Jeremy Lin,"$487,109  "
John Jenkins,"$486,520  "
Chris Boucher,"$457,418  "
Malcolm Miller,"$457,418  "
Edmond Sumner,"$449,794  "
Markieff Morris,"$427,289  "
Henry Ellenson,"$341,831  "
Pau Gasol,"$333,285  "
Andrew Bogut,"$307,648  "
Danuel House,"$247,827  "
Jaylen Adams,"$236,854  "
Tim Frazier,"$196,553  "
Dairis Bertans,"$194,220  "
Ray Spalding,"$184,746  "
Jimmer Fredette,"$170,915  "
Deonte Burton,"$151,587  "
Jodie Meeks,"$136,732  "
Cam Reynolds,"$108,953  "
Walter Lemon Jr.,"$99,107  "
Chris Chiozza,"$90,005  "
John Jenkins,"$85,458  "
Henry Ellenson,"$85,458  "
Cameron Payne,"$85,458  "
Terrence Jones,"$85,458  "
Cameron Payne,"$85,458  "
Terrence Jones,"$85,458  "
John Jenkins,"$85,458  "
Gary Payton II,"$85,458  "
Tyler Zeller,"$85,458  "
Deyonta Davis,"$85,458  "
Deyonta Davis,"$85,458  "
Scotty Hopson,"$85,458  "
Corey Brewer,"$85,458  "
Greg Monroe,"$85,458  "
Isaiah Canaan,"$85,458  "
Michael Carter-Williams,"$85,458  "
