game_id,game_date_est,home_team_id,visitor_team_id,season,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,home_team_wins
21801195,2019-04-07,1610612761,1610612748,2018,117.0,0.448,0.852,0.39,26.0,47.0,109.0,0.41,0.737,0.382,27.0,55.0,1
21801196,2019-04-07,1610612739,1610612759,2018,90.0,0.392,0.741,0.276,16.0,35.0,112.0,0.524,0.773,0.409,27.0,49.0,0
21801197,2019-04-07,1610612750,1610612760,2018,126.0,0.541,0.828,0.435,29.0,32.0,132.0,0.522,0.846,0.412,27.0,46.0,0
21801198,2019-04-07,1610612765,1610612766,2018,91.0,0.37,0.867,0.244,20.0,55.0,104.0,0.4320000000000001,0.7829999999999999,0.32299999999999995,23.0,44.0,0
21801199,2019-04-07,1610612754,1610612751,2018,96.0,0.482,0.5710000000000001,0.37,27.0,33.0,108.0,0.455,0.773,0.306,23.0,52.0,0
21801201,2019-04-07,1610612763,1610612742,2018,127.0,0.429,0.857,0.4320000000000001,32.0,53.0,129.0,0.459,0.794,0.293,31.0,51.0,0
21801200,2019-04-07,1610612745,1610612756,2018,149.0,0.53,0.762,0.474,34.0,52.0,113.0,0.462,0.762,0.324,26.0,42.0,1
21801202,2019-04-07,1610612749,1610612737,2018,115.0,0.44,0.765,0.22,19.0,61.0,107.0,0.4,0.526,0.378,25.0,48.0,1
21801203,2019-04-07,1610612738,1610612753,2018,108.0,0.472,0.857,0.387,28.0,39.0,116.0,0.456,1.0,0.364,29.0,45.0,0
21801204,2019-04-07,1610612752,1610612764,2018,113.0,0.513,0.737,0.5,24.0,43.0,110.0,0.417,0.778,0.294,24.0,50.0,1
21801205,2019-04-07,1610612744,1610612746,2018,131.0,0.546,0.867,0.324,34.0,48.0,104.0,0.481,0.621,0.526,26.0,39.0,1
21801206,2019-04-07,1610612757,1610612743,2018,115.0,0.461,0.828,0.321,22.0,58.0,108.0,0.442,0.55,0.394,24.0,42.0,1
21801207,2019-04-07,1610612758,1610612740,2018,129.0,0.459,0.765,0.4,27.0,47.0,133.0,0.515,0.833,0.452,28.0,55.0,0
21801208,2019-04-07,1610612747,1610612762,2018,113.0,0.517,0.667,0.28,28.0,49.0,109.0,0.452,0.7140000000000001,0.31,25.0,35.0,1
21801193,2019-04-06,1610612749,1610612751,2018,128.0,0.557,0.667,0.471,28.0,43.0,133.0,0.495,0.7829999999999999,0.422,25.0,43.0,0
21801194,2019-04-06,1610612741,1610612755,2018,96.0,0.4270000000000001,0.8,0.32,22.0,38.0,116.0,0.523,0.5770000000000001,0.333,25.0,54.0,0
21801180,2019-04-05,1610612766,1610612761,2018,113.0,0.468,0.857,0.333,28.0,40.0,111.0,0.5379999999999999,0.8,0.34600000000000003,27.0,43.0,1
21801181,2019-04-05,1610612753,1610612737,2018,149.0,0.609,0.76,0.486,35.0,54.0,113.0,0.436,0.677,0.256,21.0,38.0,1
21801182,2019-04-05,1610612764,1610612759,2018,112.0,0.477,0.8640000000000001,0.281,22.0,34.0,129.0,0.56,0.85,0.4,34.0,42.0,0
21801183,2019-04-05,1610612754,1610612738,2018,97.0,0.413,0.579,0.435,24.0,45.0,117.0,0.522,0.875,0.259,27.0,49.0,0
21801184,2019-04-05,1610612745,1610612752,2018,120.0,0.426,0.706,0.373,26.0,48.0,96.0,0.451,0.593,0.222,22.0,53.0,1
21801185,2019-04-05,1610612750,1610612748,2018,111.0,0.5,0.81,0.333,25.0,43.0,109.0,0.511,0.75,0.294,24.0,38.0,1
21801186,2019-04-05,1610612760,1610612765,2018,123.0,0.475,0.682,0.414,30.0,59.0,110.0,0.4320000000000001,0.8059999999999999,0.366,20.0,32.0,1
21801187,2019-04-05,1610612742,1610612763,2018,112.0,0.4270000000000001,0.619,0.362,28.0,42.0,122.0,0.479,0.875,0.39,30.0,50.0,0
21801188,2019-04-05,1610612762,1610612758,2018,119.0,0.518,0.64,0.455,30.0,46.0,98.0,0.413,0.68,0.238,17.0,47.0,1
21801189,2019-04-05,1610612756,1610612740,2018,133.0,0.49,0.81,0.389,27.0,46.0,126.0,0.485,0.741,0.348,28.0,53.0,1
21801190,2019-04-05,1610612743,1610612757,2018,119.0,0.512,0.897,0.259,27.0,39.0,110.0,0.488,0.8,0.345,24.0,40.0,1
21801191,2019-04-05,1610612744,1610612739,2018,120.0,0.529,1.0,0.541,29.0,38.0,114.0,0.443,0.913,0.233,21.0,48.0,1
21801192,2019-04-05,1610612746,1610612747,2018,117.0,0.44,0.871,0.345,29.0,45.0,122.0,0.448,0.815,0.438,28.0,55.0,0
21801177,2019-04-04,1610612755,1610612749,2018,122.0,0.474,0.778,0.5,36.0,43.0,128.0,0.452,0.7440000000000001,0.353,26.0,50.0,0
21801178,2019-04-04,1610612758,1610612739,2018,117.0,0.495,0.7,0.368,28.0,36.0,104.0,0.5429999999999999,0.556,0.44,20.0,50.0,1
21801179,2019-04-04,1610612747,1610612744,2018,90.0,0.35600000000000004,0.5710000000000001,0.21600000000000005,25.0,62.0,108.0,0.439,0.8,0.391,30.0,51.0,0
21801165,2019-04-03,1610612765,1610612754,2018,89.0,0.388,0.667,0.268,21.0,46.0,108.0,0.467,0.727,0.28600000000000003,31.0,44.0,0
21801166,2019-04-03,1610612753,1610612752,2018,114.0,0.455,0.65,0.344,29.0,55.0,100.0,0.447,0.857,0.222,21.0,39.0,1
21801167,2019-04-03,1610612764,1610612741,2018,114.0,0.464,0.731,0.185,24.0,39.0,115.0,0.5329999999999999,0.8240000000000001,0.263,22.0,49.0,0
21801168,2019-04-03,1610612737,1610612755,2018,130.0,0.522,0.7859999999999999,0.333,29.0,44.0,122.0,0.459,0.579,0.32299999999999995,27.0,57.0,1
21801169,2019-04-03,1610612751,1610612761,2018,105.0,0.477,0.619,0.313,23.0,53.0,115.0,0.419,0.857,0.395,29.0,52.0,0
21801170,2019-04-03,1610612748,1610612738,2018,102.0,0.411,0.6,0.333,25.0,47.0,112.0,0.475,0.871,0.375,25.0,42.0,0
21801171,2019-04-03,1610612740,1610612766,2018,109.0,0.471,0.8240000000000001,0.366,25.0,48.0,115.0,0.422,0.8440000000000001,0.353,19.0,48.0,0
21801172,2019-04-03,1610612742,1610612750,2018,108.0,0.457,0.789,0.179,26.0,49.0,110.0,0.488,0.8,0.37,26.0,38.0,0
21801173,2019-04-03,1610612743,1610612759,2018,113.0,0.54,0.583,0.364,41.0,47.0,85.0,0.383,0.72,0.185,15.0,38.0,1
21801174,2019-04-03,1610612756,1610612762,2018,97.0,0.462,0.615,0.238,21.0,31.0,118.0,0.5710000000000001,0.778,0.5,30.0,45.0,0
21801175,2019-04-03,1610612757,1610612763,2018,116.0,0.511,0.625,0.32299999999999995,28.0,54.0,89.0,0.388,0.8420000000000001,0.333,20.0,32.0,1
21801176,2019-04-03,1610612746,1610612745,2018,103.0,0.463,0.613,0.308,27.0,38.0,135.0,0.534,0.7929999999999999,0.474,22.0,48.0,0
21801161,2019-04-02,1610612760,1610612747,2018,119.0,0.461,0.6,0.295,33.0,50.0,103.0,0.476,0.7,0.41,26.0,39.0,1
21801162,2019-04-02,1610612759,1610612737,2018,117.0,0.525,0.8640000000000001,0.467,23.0,45.0,111.0,0.457,0.65,0.353,26.0,43.0,1
21801163,2019-04-02,1610612758,1610612745,2018,105.0,0.442,0.7,0.304,19.0,51.0,130.0,0.489,0.706,0.426,30.0,43.0,0
21801164,2019-04-02,1610612744,1610612743,2018,116.0,0.5429999999999999,0.375,0.382,36.0,55.0,102.0,0.375,0.7929999999999999,0.233,23.0,40.0,1
21801152,2019-04-01,1610612754,1610612765,2018,111.0,0.545,0.773,0.455,27.0,42.0,102.0,0.4320000000000001,0.737,0.364,21.0,41.0,1
21801153,2019-04-01,1610612738,1610612748,2018,110.0,0.396,0.875,0.425,25.0,49.0,105.0,0.455,0.833,0.27,27.0,48.0,1
21801154,2019-04-01,1610612751,1610612749,2018,121.0,0.415,0.794,0.364,19.0,55.0,131.0,0.5,0.867,0.324,28.0,40.0,0
21801155,2019-04-01,1610612752,1610612741,2018,113.0,0.5,0.84,0.474,24.0,44.0,105.0,0.447,0.7390000000000001,0.235,20.0,44.0,1
21801156,2019-04-01,1610612761,1610612753,2018,121.0,0.5,0.818,0.514,31.0,39.0,109.0,0.462,0.733,0.364,32.0,46.0,1
21801157,2019-04-01,1610612750,1610612757,2018,122.0,0.49,0.895,0.379,29.0,37.0,132.0,0.5489999999999999,0.708,0.5,31.0,50.0,0
21801158,2019-04-01,1610612742,1610612755,2018,122.0,0.474,0.667,0.375,29.0,54.0,102.0,0.387,0.75,0.182,20.0,55.0,1
21801159,2019-04-01,1610612762,1610612766,2018,111.0,0.481,0.769,0.429,30.0,47.0,102.0,0.4,0.7929999999999999,0.233,15.0,44.0,1
21801160,2019-04-01,1610612756,1610612739,2018,122.0,0.5479999999999999,0.85,0.35100000000000003,28.0,40.0,113.0,0.455,0.682,0.364,17.0,48.0,1
21801145,2019-03-31,1610612737,1610612749,2018,136.0,0.441,0.588,0.361,36.0,58.0,135.0,0.414,0.957,0.309,30.0,71.0,1
21801146,2019-03-31,1610612760,1610612742,2018,103.0,0.388,0.727,0.256,19.0,49.0,106.0,0.425,0.696,0.364,18.0,52.0,0
21801147,2019-03-31,1610612740,1610612747,2018,102.0,0.458,0.857,0.258,19.0,45.0,130.0,0.475,0.8640000000000001,0.395,30.0,46.0,0
21801149,2019-03-31,1610612759,1610612758,2018,106.0,0.468,0.7140000000000001,0.29600000000000004,24.0,42.0,113.0,0.481,0.857,0.44,20.0,42.0,0
21801148,2019-03-31,1610612743,1610612764,2018,90.0,0.376,0.65,0.194,18.0,57.0,95.0,0.402,0.75,0.25,24.0,54.0,0
21801150,2019-03-31,1610612744,1610612766,2018,137.0,0.602,0.833,0.636,41.0,50.0,90.0,0.353,0.88,0.25,24.0,28.0,1
21801151,2019-03-31,1610612746,1610612763,2018,113.0,0.48,0.895,0.259,23.0,47.0,96.0,0.376,0.828,0.242,22.0,34.0,1
21801136,2019-03-30,1610612746,1610612739,2018,132.0,0.624,0.688,0.455,33.0,44.0,108.0,0.446,0.821,0.13,18.0,36.0,1
21801137,2019-03-30,1610612751,1610612738,2018,110.0,0.458,0.7859999999999999,0.316,22.0,40.0,96.0,0.422,0.7829999999999999,0.4,19.0,39.0,1
21801138,2019-03-30,1610612745,1610612758,2018,119.0,0.47,0.889,0.327,19.0,38.0,108.0,0.447,0.6,0.517,28.0,49.0,1
21801139,2019-03-30,1610612765,1610612757,2018,99.0,0.43,0.769,0.2,20.0,45.0,90.0,0.373,0.909,0.19,18.0,59.0,1
21801140,2019-03-30,1610612754,1610612753,2018,116.0,0.5329999999999999,0.647,0.375,26.0,44.0,121.0,0.511,0.857,0.395,37.0,37.0,0
